loc,ACD,FOUT_avg,FOUT_max,FOUT_sum,MLOC_avg,MLOC_max,MLOC_sum,NBD_avg,NBD_max,NBD_sum,NOF_avg,NOF_max,NOF_sum,NOI,NOM_avg,NOM_max,NOM_sum,NOT,NSF_avg,NSF_max,NSF_sum,NSM_avg,NSM_max,NSM_sum,PAR_avg,PAR_max,PAR_sum,VG_avg,VG_max,VG_sum,bug
9,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,5.0,5,5,0,0.0,0,0,0.0,0,0,1.6,2,8,0.0,0,0,0
9,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,3.0,3,3,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
44,0,3.0,8,18,3.333333333,11,20,1.166666667,2,7,0.0,0,0,0,6.0,6,6,1,0.0,0,0,0.0,0,0,1.333333333,3,8,1.833333333,5,11,0
5,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,1.0,1,1,0,0.0,0,0,0.0,0,0,1.0,1,1,0.0,0,0,0
34,0,1.4,5,7,3.2,10,16,1.4,3,7,3.0,3,3,0,5.0,5,5,1,0.0,0,0,0.0,0,0,1.0,3,5,1.8,4,9,0
41,0,4.25,11,17,6.5,20,26,1.75,3,7,0.0,0,0,0,4.0,4,4,1,0.0,0,0,0.0,0,0,0.5,1,2,2.0,4,8,0
497,5,4.30952381,22,181,8.404761905,44,353,1.714285714,4,72,7.0,17,21,0,13.66666667,25,41,1,0.0,0,0,0.0,0,0,0.7142857140000001,5,30,2.928571429,14,123,0
4,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,1.0,1,1,0,0.0,0,0,0.0,0,0,1.0,1,1,0.0,0,0,0
210,0,9.5,67,114,11.75,68,141,2.416666667,7,29,1.0,1,1,0,11.0,11,11,1,0.0,0,0,1.0,1,1,1.166666667,3,14,3.833333333,15,46,1
59,0,6.75,10,27,9.5,17,38,1.0,1,4,0.0,0,0,0,4.0,4,4,1,2.0,2,2,0.0,0,0,1.0,2,4,1.5,2,6,0
9,0,0.0,0,0,0.0,0,0,0.0,0,0,5.0,5,5,0,0.0,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
200,0,9.363636364,29,103,13.09090909,53,144,1.636363636,3,18,0.5,1,1,0,5.5,10,11,1,8.0,16,16,0.0,0,0,0.818181818,2,9,4.363636364,14,48,0
6,0,0.0,0,0,0.0,0,0,0.0,0,0,3.0,3,3,0,0.0,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
6,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,1.0,1,1,0,0.0,0,0,0.0,0,0,2.0,2,2,0.0,0,0,0
10,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,0.0,0,0,0,6.0,6,6,0.0,0,0,0.0,0,0,0.0,0,0,0
110,0,4.0,19,36,8.777777777999999,48,79,1.4444444440000002,2,13,0.0,0,0,0,1.0,1,1,1,0.0,0,0,8.0,8,8,1.888888889,5,17,4.333333333,23,39,0
1047,0,6.775,39,542,10.4,33,832,2.375,5,190,18.0,18,18,0,80.0,80,80,1,0.0,0,0,0.0,0,0,0.8375,5,67,3.55,17,284,0
6,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,1.0,1,1,0,0.0,0,0,0.0,0,0,1.0,1,1,0.0,0,0,0
14,0,0.0,0,0,0.25,1,2,0.0,0,0,0.0,0,0,1,8.0,8,8,0,0.0,0,0,0.0,0,0,0.75,2,6,0.0,0,0,0
30,0,0.28571428600000004,1,2,1.285714286,2,9,1.0,1,7,3.0,3,3,0,7.0,7,7,1,0.0,0,0,0.0,0,0,1.428571429,3,10,1.0,1,7,0
39,0,10.66666667,31,32,9.0,25,27,1.0,1,3,0.0,0,0,0,3.0,3,3,1,0.0,0,0,0.0,0,0,0.666666667,2,2,3.333333333,8,10,0
479,4,4.166666667,38,175,7.095238095,48,298,1.547619048,6,65,2.4,14,24,0,4.2,26,42,1,0.0,0,0,0.0,0,0,0.80952381,3,34,2.476190476,14,104,0
61,0,6.666666667,20,20,12.66666667,28,38,2.666666667,4,8,3.0,3,3,0,3.0,3,3,1,0.0,0,0,0.0,0,0,1.333333333,3,4,3.666666667,5,11,0
113,0,3.375,28,54,3.5625,26,57,1.1875,3,19,1.666666667,3,5,0,5.333333333,9,16,1,0.0,0,0,0.0,0,0,0.8125,3,13,1.25,4,20,0
36,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,1,4.0,4,4,11.0,11,11,2.272727273,10,25,0.0,0,0,0
90,2,5.166666667,15,31,8.833333332999999,31,53,1.333333333,3,8,5.0,5,5,0,6.0,6,6,1,0.0,0,0,0.0,0,0,0.5,1,3,1.166666667,2,7,0
48,0,3.8,11,19,4.2,9,21,1.0,1,5,5.0,5,5,0,5.0,5,5,1,3.0,3,3,0.0,0,0,0.6,3,3,1.0,1,5,0
59,0,1.625,7,13,3.0,9,24,1.125,2,9,6.0,6,6,0,8.0,8,8,1,5.0,5,5,0.0,0,0,0.25,2,2,1.75,5,14,1
17,0,0.333333333,1,1,1.0,1,3,1.0,1,3,0.0,0,0,0,3.0,3,3,1,0.0,0,0,0.0,0,0,0.333333333,1,1,1.0,1,3,0
25,0,0.0,0,0,0.0,0,0,0.0,0,0,22.0,22,22,1,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
5,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,2.0,2,2,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
274,0,2.586206897,12,75,5.9655172410000015,21,173,1.4137931030000002,3,41,1.0,1,1,0,21.0,21,21,1,29.0,29,29,8.0,8,8,0.379310345,2,11,2.103448276,7,61,0
45,1,4.0,17,20,4.6,16,23,1.6,4,8,3.0,3,3,0,5.0,5,5,1,0.0,0,0,0.0,0,0,0.8,3,4,1.4,3,7,0
66,0,1.777777778,12,16,2.888888889,15,26,1.111111111,2,10,3.0,3,3,0,9.0,9,9,1,0.0,0,0,0.0,0,0,1.0,2,9,1.4444444440000002,5,13,0
140,0,3.461538462,18,45,6.923076922999999,36,90,1.692307692,6,22,4.0,4,4,0,13.0,13,13,1,0.0,0,0,0.0,0,0,0.615384615,2,8,2.384615385,10,31,0
41,0,3.25,13,13,5.0,17,20,1.25,2,5,2.0,2,2,0,4.0,4,4,1,0.0,0,0,0.0,0,0,0.75,1,3,2.0,5,8,0
165,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,0.0,0,0,0,162.0,162,162,0.0,0,0,0.0,0,0,0.0,0,0,0
133,0,2.235294118,11,38,4.823529412,17,82,1.588235294,4,27,3.0,3,3,0,16.0,16,16,1,4.0,4,4,1.0,1,1,0.941176471,3,16,1.764705882,5,30,1
14,0,1.0,2,2,2.5,4,5,1.0,1,2,1.0,1,1,0,2.0,2,2,1,0.0,0,0,0.0,0,0,1.0,1,2,1.0,1,2,0
29,0,0.7142857140000001,1,5,1.428571429,4,10,1.142857143,2,8,1.0,1,1,0,7.0,7,7,1,0.0,0,0,0.0,0,0,1.285714286,3,9,1.142857143,2,8,1
24,0,0.0,0,0,2.25,5,9,1.25,2,5,1.0,1,1,0,4.0,4,4,1,0.0,0,0,0.0,0,0,0.75,2,3,1.25,2,5,0
